Wilaya,Code,Superficie(km2),Population(2008),Latitude,Longitude,Altitude,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020
Adrar,1,439700,399714,27.89972222,-0.283055556,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3
Chlef,2,4795,1002088,36.16472222,1.335,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,7,8,10,15
Laghouat,3,25057,455602,33.79972222,2.883055556,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
OumElBouaghi,4,7638,621612,35.8775,7.113611111,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,6
Batna,5,12192,1119791,35.55527778,6.178611111,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,7,8,6,12,12
Bejaia,6,3268,912577,36.75,5.083055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,5,5,5,5,5,26,29,36,47
Biskra,7,20986,721356,34.85,5.733055556,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,6
Bechar,8,162200,270061,31.61666667,-2.216666667,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blida,9,1575,1002937,36.46666667,2.833055556,274,0,0,0,0,0,2,2,4,7,14,14,16,17,17,17,17,19,19,26,40,40,40,42,47,47,78,110,125,143,150,176,176,192,192,220,294,342,385,432
Bouira,10,4439,695583,36.38,3.901388889,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,6,7,9,10
Tamanrasset,11,556185,176637,22.78305556,5.516666667,1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tebessa,12,14227,648703,35.40416667,8.124166667,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tlemcen,13,9061,949135,34.87833333,-1.315,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,7,7,7,7,12,13,16,31
Tiaret,14,20673,846823,35.37583333,1.313055556,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TiziOuzou,15,2956,1127608,36.71694444,4.049722222,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,5,6,6,7,7,11,11,11,14,14,14,14,15,29,31,40,39
Alger,16,1190,2988145,36.76305556,3.050555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,8,12,12,12,21,42,42,42,64,64,65,65,65,125,136,154,183
Djelfa,17,66415,1092184,34.66666667,3.25,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,5,7,8
Jijel,18,2577,636948,36.79972222,5.766666667,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,4,11,11,15
Setif,19,6504,1489979,36.19138889,5.409444444,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,7,7,7,7,7,19,23,25,43
Saida,20,6764,330641,34.83305556,0.15,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skikda,21,4026,898680,36.86222222,6.947222222,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,5,7,5,5,5,6,6,6,6,6,8,12,13,17
SidiBelAbbes,22,9096,604744,35.19388889,-0.641388889,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,6,8,9,10
Annaba,23,1439,609499,36.89972222,7.766666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,10,6,5,5,5,6,6,6,6,6,6,6,7,8
Guelma,24,4101,482430,36.46611111,7.433888889,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
Constantine,25,2187,938475,36.365,6.614722222,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,8,11,11,12
Medea,26,8866,819932,36.26666667,2.75,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,17,2,5,5,6,4,6,6,6,17,21,22,22
Mostaganem,27,2175,737118,35.93305556,0.090277778,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,8,10,20,21
M'Sila,28,18718,990591,35.72555556,4.527777778,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Mascara,29,5941,784073,35.39444444,0.139722222,492,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,7,9,10,15
Ouargla,30,211980,558558,31.94972222,5.333055556,150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Oran,31,2121,1454078,35.69111111,-0.641666667,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,8,8,16,16,16,16,16,44,48,62,64
ElBayadh,32,78870,228624,33.68611111,1.013888889,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illizi,33,285000,52333,26.48305556,8.466666667,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BordjBouArreridj,34,4115,628475,36.06666667,4.766666667,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,5,6,6,8,8,11,11,12,21
Boumerdes,35,1356,802083,36.76666667,3.477222222,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,4,4,4,4,4,9,10,11,14
ElTarf,36,3339,408414,36.76861111,8.316666667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4
Tindouf,37,159000,49149,27.67416667,-8.147777778,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tissemsilt,38,3152,294476,35.60777778,1.811111111,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2
ElOued,39,54573,647548,33.33305556,6.883055556,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,4,4,5,5,5,5,5,7,16,16,16
Khenchela,40,9811,386683,35.43583333,7.143333333,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
SoukAhras,41,4541,438127,36.26861111,7.935555556,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,3,4,4,6
Tipaza,42,1605,591010,36.58305556,2.45,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,9,9,9,9,9,18,21,27,32
Mila,43,3407,766886,36.45111111,6.265277778,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AinDefla,44,4891,766013,36.06666667,4.549722222,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,13,15,20,28
Naâma,45,29950,192891,33.26666667,-0.316666667,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AinTemouchent,46,2379,371239,35.3125,-1.145277778,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,5,4,6
Ghardaia,47,86105,363598,32.48305556,3.666666667,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2
Relizane,48,4870,726180,35.7425,0.559166667,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,1,3,5,7
Total,,,,,,,1,1,1,1,1,3,3,5,8,17,17,19,20,20,20,20,26,27,37,54,60,61,75,92,92,140,203,233,257,265,368,368,388,392,426,722,847,986,1171
